Start to DebugGuard.	2011/02/11 01:36:36

Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:2sec	 Type:Event	 Data:Object Draw
Time:2sec	 Type:Event	 Data:MDX EndDraw
Time:2sec	 Type:Event	 Data:MDX EndViewDraw
Time:3sec	 Type:Event	 Data:Object Draw
Time:3sec	 Type:Event	 Data:MDX EndDraw
Time:3sec	 Type:Event	 Data:MDX EndViewDraw
Time:3sec	 Type:Event	 Data:Object Draw
Time:3sec	 Type:Event	 Data:MDX EndDraw
Time:3sec	 Type:Event	 Data:MDX EndViewDraw
Time:3sec	 Type:Event	 Data:SystemViewClass Destructor
Time:3sec	 Type:Event	 Data:ObjectClass Destructor
